show_id,type,title,director,cast,country,date_added,release_year,duration,listed_in,description,year_added,month_added,day_added,is_movie,cleaned_description,rating_G,rating_PG,rating_PG-13,rating_TV-14,rating_TV-G,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV
s225,TV Show,Wicked Tuna: Outer Banks,Unknown,Bill Ratner,Unknown,2021-02-05,2013,7 Seasons,"Animals & Nature, Docuseries, Family",Fishermen venture to North Carolina’s Outer Banks to battle for the ocean’s most lucrative prize.,2021.0,2.0,5.0,0,fisherman venture north carolina outer bank battle ocean lucrative prize,False,False,False,True,False,False,False,False,False
s226,TV Show,Dinosaurs,Unknown,Unknown,United States,2021-01-29,1991,4 Seasons,"Comedy, Family",Dinosaurs raise a family during the Stone Age.,2021.0,1.0,29.0,0,dinosaur raise family stone age,False,False,False,False,False,True,False,False,False
s227,Movie,Texas Storm Squad,Natalie Hewit,Sam Douglas,Unknown,2021-01-29,2020,44 min,Documentary,An elite search and rescue team battles to save lives during record-breaking Storm Imelda.,2021.0,1.0,29.0,1,elite search rescue team battle save life storm imelda,False,False,False,True,False,False,False,False,False
s228,TV Show,Pixar Popcorn,Unknown,"Ellen DeGeneres, Craig T. Nelson, Holly Hunter, Keegan-Michael Key, Jordan Peele",United States,2021-01-22,2021,1 Season,"Animation, Anthology, Family",Grab a quick snack of Pixar with this collection of mini shorts starring your favorite characters.,2021.0,1.0,22.0,0,grab quick snack pixar collection mini short starring favorite character,False,False,False,False,False,True,False,False,False
s229,Movie,Wild Uganda,Harald Pokieser,Russell Boulter,Unknown,2021-01-22,2018,45 min,"Animals & Nature, Documentary",Uganda boasts one of the most diverse landscapes on Earth and wildlife is thriving.,2021.0,1.0,22.0,1,uganda boast one diverse landscape earth wildlife thriving,False,False,False,False,False,True,False,False,False
s230,TV Show,Elena of Avalor,Unknown,"Aimee Carrero, Jenna Ortega, Keith Ferguson, Jillian Reed, Carlos Alazraqui, Mikey Kelley",United States,2021-01-15,2015,3 Seasons,"Action-Adventure, Animation, Fantasy",Elena of Avalor must learn to rule!,2021.0,1.0,15.0,0,elena avalor must learn rule,False,False,False,False,False,False,False,True,False
s231,Movie,Isle of Dogs,Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, Jeff Goldblum, Bill Murray","United States, Germany, United Kingdom",2021-01-15,2018,102 min,"Action-Adventure, Animation, Comedy","Set in Japan, ISLE OF DOGS follows a boy's odyssey in search of his dog.",2021.0,1.0,15.0,1,set japan isle dog follows boy odyssey search dog,False,False,True,False,False,False,False,False,False
s232,Movie,Mary Poppins Returns,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Pixie Davies","United States, United Kingdom",2021-01-15,2018,140 min,"Family, Fantasy, Musical",Mary Poppins is back to help the Banks family in this reimagined classic.,2021.0,1.0,15.0,1,mary poppins back help bank family reimagined classic,False,True,False,False,False,False,False,False,False
s233,TV Show,WandaVision,Unknown,"Elizabeth Olsen, Paul Bettany, Teyonah Parris, Kathryn Hahn, Randall Park, Kat Dennings",United States,2021-01-15,2021,1 Season,"Drama, Fantasy, Mystery",Two super-powered beings living idealized suburban lives suspect that everything is not as it seems.,2021.0,1.0,15.0,0,two being living idealized suburban life suspect everything seems,False,False,False,True,False,False,False,False,False
s234,TV Show,Disney Fam Jam,Unknown,"Phil Wright, Ariel Martin, Trevor Tordjman",United States,2021-01-08,2020,1 Season,"Family, Game Show / Competition, Reality",Families across America compete in epic dance battles!,2021.0,1.0,8.0,0,family across america compete epic dance battle,False,False,False,False,True,False,False,False,False
s235,Movie,Ferdinand,Carlos Saldanha,"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy, Carlos Saldanha, Jeremy Sisto","United States, Spain",2021-01-08,2017,111 min,"Action-Adventure, Animation, Comedy","Ferdinand, a peace-loving bull, rallies a misfit team of friends on the ultimate adventure home.",2021.0,1.0,8.0,1,ferdinand bull rally misfit team friend ultimate adventure home,False,True,False,False,False,False,False,False,False
s236,TV Show,Marvel Studios LEGENDS,Unknown,Unknown,United States,2021-01-08,2021,1 Season,"Action-Adventure, Docuseries, Fantasy",Marvel Studios LEGENDS celebrates the heroes and villains of the highly anticipated Disney+ shows.,2021.0,1.0,8.0,0,marvel studio legend celebrates hero villain highly anticipated show,False,False,False,True,False,False,False,False,False
s237,Movie,Toy Story: That Time Forgot,Steve Purcell,"Tom Hanks, Tim Allen, Kristen Schaal, Kevin McKidd, Emily Hahn, Wallace Shawn",United States,2021-01-08,2014,22 min,"Action-Adventure, Animation, Comedy",The Toy Story crew meet a delusional set of action figures.,2021.0,1.0,8.0,1,toy story crew meet delusional set action figure,False,False,False,False,True,False,False,False,False
s238,Movie,700 Sharks,Luc Marescot,Paul Bandey,France,2021-01-01,2018,45 min,"Animals & Nature, Documentary",Follow an international team of scientists in Polynesia as they study a school of 700 sharks.,2021.0,1.0,1.0,1,follow international team scientist polynesia study school shark,False,False,False,False,False,True,False,False,False
s239,Movie,Big Sharks Rule,Unknown,Lance Lewman,Unknown,2021-01-01,2018,45 min,"Animals & Nature, Documentary","In the waters of South Africa, sharks reign supreme.",2021.0,1.0,1.0,1,water south africa shark reign supreme,False,False,False,True,False,False,False,False,False
s240,Movie,Dr. Seuss' Horton Hears a Who!,"Jimmy Hayward, Steve Martino","Jim Carrey, Steve Carell, Will Arnett, Seth Rogen, Isla Fisher, Amy Poehler",United States,2021-01-01,2008,88 min,"Animation, Comedy, Family",Horton must save a civilization living on a speck of dust from those who don't believe they exist.,2021.0,1.0,1.0,1,horton must save civilization living speck dust believe exist,True,False,False,False,False,False,False,False,False
s241,Movie,Great Shark Chow Down,Mark Woodward,Dan Nachtrab,Unknown,2021-01-01,2019,45 min,"Animals & Nature, Documentary",Great Shark Chow Down – prepare for a feast of extraordinary shark-feeding events.,2021.0,1.0,1.0,1,great shark chow prepare feast extraordinary event,False,False,False,False,False,True,False,False,False
s242,Movie,Mega Hammerhead,"Brandon Hill, Marc Ostrick",Neil Hammerschlag,United States,2021-01-01,2016,43 min,"Animals & Nature, Documentary",Dr. Neil Hammerschlag and his team are setting off on a quest to learn more the Great Hammerhead.,2021.0,1.0,1.0,1,neil hammerschlag team setting quest learn great hammerhead,False,False,False,False,False,True,False,False,False
s243,Movie,Burrow,Madeline Sharafian,Unknown,United States,2020-12-25,2020,6 min,"Animation, Family",A rabbit attempts to dig a burrow and learns there’s no shame in asking for help.,2020.0,12.0,25.0,1,rabbit attempt dig burrow learns shame asking help,True,False,False,False,False,False,False,False,False
s244,TV Show,Cosmos: Possible Worlds,Unknown,Neil deGrasse Tyson,United States,2020-12-25,2020,1 Season,"Action-Adventure, Docuseries, Family",COSMOS: POSSIBLE WORLDS continues Carl Sagan’s legacy that began more than 40 years ago.,2020.0,12.0,25.0,0,cosmos possible world continues carl sagan legacy began year ago,False,False,False,True,False,False,False,False,False
s245,TV Show,Disney Gallery / Star Wars: The Mandalorian,Unknown,"Jon Favreau, Dave Filoni, Pedro Pascal, Bryce Howard, Taika Waititi, Carl Weathers",United States,2020-12-25,2020,2 Seasons,"Action-Adventure, Docuseries, Family",DISNEY GALLERY / STAR WARS: THE MANDALORIAN is a docuseries about the making of The Mandalorian.,2020.0,12.0,25.0,0,disney gallery star war mandalorian docuseries making mandalorian,False,False,False,False,False,True,False,False,False
s246,Movie,Max Keeble's Big Move,Tim Hill,"Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey, Josh Peck, Nora Dunn",United States,2020-12-25,2001,88 min,"Comedy, Family","After a week of creating mayhem, Max has to face the consequences.",2020.0,12.0,25.0,1,week creating mayhem max face consequence,False,True,False,False,False,False,False,False,False
s247,Movie,Soul,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",United States,2020-12-25,2020,107 min,"Animation, Comedy, Family","Jamie Foxx stars in Pixar’s ""Soul,"" a comedy about what makes you... YOU.",2020.0,12.0,25.0,1,jamie foxx star pixar soul comedy make,False,True,False,False,False,False,False,False,False
s248,Movie,Arendelle Castle Yule Log,Unknown,Unknown,United States,2020-12-18,2020,180 min,"Animation, Family",Set the wintry mood for your holiday celebration with Anna and Elsa’s Arendelle Castle yule log.,2020.0,12.0,18.0,1,set wintry mood holiday celebration anna elsa arendelle castle yule log,False,False,False,False,True,False,False,False,False
s249,Movie,Buried Truth of the Maya,Unknown,Josh Bernstein,United States,2020-12-18,2020,48 min,"Documentary, Historical",A high-tech archaeological team explores the hidden secrets of Chichen Itza.,2020.0,12.0,18.0,1,archaeological team explores hidden secret chichen itza,False,False,False,False,False,True,False,False,False
s250,TV Show,Disney Parks Sunrise Series,Unknown,Unknown,Unknown,2020-12-18,2021,1 Season,"Animals & Nature, Docuseries, Family","An inspiring view of Disney Parks few have experienced before, at sunrise. Previously Recorded.",2020.0,12.0,18.0,0,inspiring view disney park experienced sunrise previously recorded,False,False,False,False,True,False,False,False,False
s251,Movie,Dory's Reef Cam,Michal Makarewicz,Unknown,United States,2020-12-18,2020,182 min,"Animation, Family",Dive into the waters below and watch the aquatic wildlife from the world of Nemo and Dory.,2020.0,12.0,18.0,1,dive water watch aquatic wildlife world nemo dory,False,False,False,False,True,False,False,False,False
s252,Movie,Eddie the Eagle,Dexter Fletcher,"Tom Costello, Jo Hartley, Keith Allen, Dickon Tolson, Jack Costello, Taron Egerton","United Kingdom, Germany, United States",2020-12-18,2016,107 min,"Biographical, Comedy, Drama","True story of Eddie Edwards, a British ski-jumper whose Olympic performance wins the hearts of fans.",2020.0,12.0,18.0,1,true story eddie edward british whose olympic performance win heart fan,False,False,True,False,False,False,False,False,False
s253,Movie,Into the Woods,Rob Marshall,"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman",United States,2020-12-18,2014,126 min,"Action-Adventure, Fantasy, Musical",A baker and his wife's desperation to have a child sends them on a quest to reverse a witch’s curse.,2020.0,12.0,18.0,1,baker wife desperation child sends quest reverse witch curse,False,True,False,False,False,False,False,False,False
s254,Movie,"Miraculous World: New York, United Heroez",Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz","United Kingdom, United States, France",2020-12-18,2020,60 min,"Action-Adventure, Animation, Fantasy",Marinette’s class is headed to New York!,2020.0,12.0,18.0,1,marinette class headed new york,False,False,False,False,False,False,False,False,True
s255,TV Show,On Pointe,Unknown,Unknown,United States,2020-12-18,2020,1 Season,"Docuseries, Family",On Pointe follows students during a season in the School of American Ballet (SAB) in New York City.,2020.0,12.0,18.0,0,pointe follows student season school american ballet sab new york city,False,False,False,False,False,True,False,False,False
s256,TV Show,Wild Nordic,Unknown,Dan Nachtrab,Unknown,2020-12-18,2019,1 Season,"Animals & Nature, Docuseries, Reality","As seen by the Viking gods, the fabled wildernesses of Norway, Finland and Sweden are revealed.",2020.0,12.0,18.0,0,seen viking god fabled wilderness norway finland sweden revealed,False,False,False,False,False,True,False,False,False
s257,Movie,Disney Channel's Epic Holiday Showdown,Unknown,Unknown,United States,2020-12-11,2020,50 min,"Fantasy, Variety",DC stars try to save the holidays from Scrooge.,2020.0,12.0,11.0,1,dc star try save holiday scrooge,False,False,False,False,True,False,False,False,False
s258,Movie,Disney Holiday Magic Quest,Unknown,Unknown,United States,2020-12-11,2020,46 min,Movies,ZOMBIES stars race to save the holiday magic!,2020.0,12.0,11.0,1,zombie star race save holiday magic,False,False,False,False,True,False,False,False,False
s259,Movie,Gender Revolution: A Journey With Katie Couric,Unknown,Katie Couric,United States,2020-12-11,2017,93 min,Documentary,Katie Couric explores questions about gender identity with experts and everyday people.,2020.0,12.0,11.0,1,katie couric explores question gender identity expert everyday people,False,False,False,True,False,False,False,False,False
s260,Movie,High School Musical: The Musical: The Holiday Special,Unknown,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",United States,2020-12-11,2020,46 min,"Drama, Music, Romance",The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!,2020.0,12.0,11.0,1,cast high school musical musical series celebrates holiday music,False,False,False,False,True,False,False,False,False
s261,Movie,Ralph Breaks the Internet,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",United States,2020-12-11,2018,116 min,"Action-Adventure, Animation, Comedy",Ralph and Vanellope are swept into the internet.,2020.0,12.0,11.0,1,ralph vanellope swept internet,False,True,False,False,False,False,False,False,False
s262,Movie,Safety,Reginald Hudlin,"Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone",United States,2020-12-11,2020,123 min,"Biographical, Drama, Sports",A drama inspired by the empowering story of former Clemson University safety Ray McElrathbey.,2020.0,12.0,11.0,1,drama inspired empowering story former clemson university safety ray mcelrathbey,False,True,False,False,False,False,False,False,False
s263,Movie,Anastasia,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters",United States,2020-12-04,1997,95 min,"Animation, Family, Fantasy","A girl heads to Paris to learn if she is the long lost princess, Anastasia.",2020.0,12.0,4.0,1,girl head paris learn long lost princess anastasia,True,False,False,False,False,False,False,False,False
s264,Movie,Godmothered,Sharon Maguire,"June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks",United States,2020-12-04,2020,113 min,"Comedy, Family, Fantasy",An inexperienced fairy godmother-in-training tries to prove that people still need fairy godmothers.,2020.0,12.0,4.0,1,inexperienced fairy try prove people still need fairy godmother,False,True,False,False,False,False,False,False,False
s265,Movie,Man vs. Shark,Unknown,"Jeremiah Sullivan, Dave Hoffman",United States,2020-12-04,2019,45 min,"Animals & Nature, Documentary",Marine biologist attempts to get bitten by a deadly tiger shark and survive,2020.0,12.0,4.0,1,marine biologist attempt get bitten deadly tiger shark survive,False,False,False,False,False,True,False,False,False
s266,Movie,Mulan,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An","United States, Canada, Hong Kong",2020-12-04,2020,117 min,"Action-Adventure, Coming of Age, Drama",A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.,2020.0,12.0,4.0,1,young woman risk great chinese warrior disney mulan,False,False,True,False,False,False,False,False,False
s267,Movie,Sky High,Mike Mitchell,"Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell",United States,2020-12-04,2005,101 min,"Action-Adventure, Comedy, Family",It takes inner and outer strength to make a name for yourself when you're the son of heroes.,2020.0,12.0,4.0,1,take inner outer strength make name son hero,False,True,False,False,False,False,False,False,False
s268,Movie,The Disney Holiday Singalong,Unknown,"Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle",United States,2020-12-04,2020,45 min,"Family, Music, Variety",A festive musical event with more Disney melodies and classic holiday songs.,2020.0,12.0,4.0,1,festive musical event disney melody classic holiday song,False,False,False,False,True,False,False,False,False
s269,Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",United States,2020-12-04,2018,101 min,"Action-Adventure, Family, Fantasy",From Disney comes the reimagined tale of The Nutcracker.,2020.0,12.0,4.0,1,disney come reimagined tale nutcracker,False,True,False,False,False,False,False,False,False
s270,Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge",United States,2020-11-27,2014,83 min,"Comedy, Coming of Age, Family",It's one calamity after another during the worst day of Alexander's life.,2020.0,11.0,27.0,1,one calamity another worst day alexander life,False,True,False,False,False,False,False,False,False
s271,Movie,Black Beauty,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",United States,2020-11-27,2020,111 min,"Animals & Nature, Coming of Age, Drama",A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.,2020.0,11.0,27.0,1,wild horse teenage girl forge unbreakable bond keep connected lifetime,False,False,False,False,False,True,False,False,False
s272,Movie,From Our Family to Yours,Angela Affinita,Unknown,United Kingdom,2020-11-27,2020,3 min,"Animation, Family","A granddaughter brings joy on Christmas by mending a beloved Mickey, evoking memories of the past.",2020.0,11.0,27.0,1,granddaughter brings joy christmas mending beloved mickey evoking memory past,False,False,False,False,True,False,False,False,False
s273,TV Show,Once Upon a Time in Wonderland,Unknown,"Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow","Canada, United States",2020-11-27,2013,1 Season,"Action-Adventure, Fantasy, Soap Opera / Melodrama",Alice tells a tale of a strange new land.,2020.0,11.0,27.0,0,alice tell tale strange new land,False,False,False,False,False,True,False,False,False
s274,TV Show,Party Animals,Unknown,Unknown,Unknown,2020-11-27,2016,1 Season,"Animals & Nature, Kids, Music",This music video series captures the funny moments animals have in their day-to-day lives.,2020.0,11.0,27.0,0,music video series capture funny moment animal life,False,False,False,False,True,False,False,False,False
s275,TV Show,Port Protection Alaska,Unknown,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",United States,2020-11-27,2015,1 Season,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,2020.0,11.0,27.0,0,resident port protection must combat volatile condition survive thrive alaska,False,False,False,True,False,False,False,False,False
s276,Movie,Folklore: the long pond studio sessions,Unknown,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",United States,2020-11-25,2020,107 min,"Documentary, Music",An intimate musical concert featuring Taylor Swift performing every song from “folklore.”,2020.0,11.0,25.0,1,intimate musical concert featuring taylor swift performing every song folklore,False,False,False,True,False,False,False,False,False
s277,TV Show,Bia,Unknown,"Isabela Souza, Giulia Guerrini, Julio Peña, Guido Messina, Andrea de Alba, Agustina Palma",Argentina,2020-11-20,2019,1 Season,"Coming of Age, Drama, Music","Bia is filled with passion, after the loss of her sister she will rediscover music and find love.",2020.0,11.0,20.0,0,bia filled passion loss sister rediscover music find love,False,False,False,False,True,False,False,False,False
s278,TV Show,Marvel's 616,Unknown,Unknown,United States,2020-11-20,2020,1 Season,"Anthology, Docuseries",An anthology documentary series exploring the impact of the Marvel Comics Universe.,2020.0,11.0,20.0,0,anthology documentary series exploring impact marvel comic universe,False,False,False,True,False,False,False,False,False
s279,Movie,Planes,Klay Hall,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra",United States,2020-11-20,2013,94 min,"Action-Adventure, Animation, Comedy",A crop duster takes on the world’s fastest in the greatest air race ever.,2020.0,11.0,20.0,1,crop duster take world fastest greatest air race ever,False,True,False,False,False,False,False,False,False
s280,Movie,Planes: Fire & Rescue,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",United States,2020-11-20,2014,85 min,"Action-Adventure, Animation, Comedy",Air racer Dusty teams up with a dynamic crew of flying firefighters.,2020.0,11.0,20.0,1,air racer dusty team dynamic crew flying firefighter,False,True,False,False,False,False,False,False,False
s281,Movie,The Real Right Stuff,Unknown,Unknown,United States,2020-11-20,2020,90 min,"Documentary, Historical",The Real Right Stuff tells the story of the nation’s first astronauts.,2020.0,11.0,20.0,1,real right stuff tell story nation first astronaut,False,False,False,False,False,True,False,False,False
s282,TV Show,The Wonderful World of Mickey Mouse,Unknown,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille",United States,2020-11-18,2020,1 Season,"Action-Adventure, Animation, Anthology",It's nothing but fun for Mickey and friends as they embark on their greatest adventures yet.,2020.0,11.0,18.0,0,nothing fun mickey friend embark greatest adventure yet,False,False,False,False,True,False,False,False,False
s283,Movie,LEGO Star Wars Holiday Special,Ken Cunningham,"Helen Sadler, Omar Miller, Jake Green, Kelly Marie Tran, Trevor Devall, Matt Sloan",United States,2020-11-17,2020,48 min,"Action-Adventure, Animation, Comedy","On the festive Life Day, Rey and BB-8 embark on an epic adventure across Star Wars history.",2020.0,11.0,17.0,1,festive life day rey embark epic adventure across star war history,False,False,False,False,False,False,False,False,True
s284,Movie,Home Alone,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara",United States,2020-11-13,1990,103 min,"Comedy, Family","When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars.",2020.0,11.0,13.0,1,kevin home family go christmas trip must defend home burglar,False,True,False,False,False,False,False,False,False
s285,Movie,Home Alone 2: Lost in New York,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara",United States,2020-11-13,1992,121 min,"Comedy, Family",Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.,2020.0,11.0,13.0,1,kevin home alone nyc wo long since wet bandit also big apple,False,True,False,False,False,False,False,False,False
s286,Movie,Home Alone 3,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa",United States,2020-11-13,1997,103 min,"Comedy, Family","A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox.",2020.0,11.0,13.0,1,gang criminal come alex pruitt home alone chicken pox,False,True,False,False,False,False,False,False,False
s287,TV Show,Inside Pixar,Unknown,Unknown,United States,2020-11-13,2020,1 Season,"Docuseries, Family","An inside look at the people, artistry, and culture of Pixar Animation Studios.",2020.0,11.0,13.0,0,inside look people artistry culture pixar animation studio,False,False,False,False,False,True,False,False,False
s288,Movie,Petra: Secrets of the Ancient Builders,"Thierry Fessard, Yohann Thiriet",Bert Morris,United Arab Emirates,2020-11-13,2019,45 min,"Documentary, Historical","Discover the technical prowess behind Petra, a wonder in the middle of the desert.",2020.0,11.0,13.0,1,discover technical prowess behind petra wonder middle desert,False,False,False,False,True,False,False,False,False
s289,Movie,Ultimate Viking Sword,Peter Yost,Jay Sanders,Unknown,2020-11-13,2019,45 min,"Documentary, Historical","National Geographic reconstructs the Ulfberht, a Viking warrior’s ultimate weapon.",2020.0,11.0,13.0,1,national geographic reconstructs ulfberht viking warrior ultimate weapon,False,False,False,False,False,True,False,False,False
s290,Movie,Disney's A Christmas Carol,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes",United States,2020-11-06,2009,97 min,"Animation, Fantasy",Three ghosts take Ebenezer Scrooge on an eye-opening journey.,2020.0,11.0,6.0,1,three ghost take ebenezer scrooge journey,False,True,False,False,False,False,False,False,False
s291,TV Show,Fancy Nancy (Shorts),Unknown,"Mia Sinclair Jenness, Dana Heath, Spencer Moss, Alyson Hannigan",Unknown,2020-11-06,2019,1 Season,"Animation, Kids",Follow Nancy as she shows you how to be more Fancy!,2020.0,11.0,6.0,0,follow nancy show fancy,False,False,False,False,False,False,True,False,False
s292,TV Show,Goldie & Bear,Unknown,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",United States,2020-11-06,2015,2 Seasons,"Action-Adventure, Animation, Buddy",Goldie and Bear go on adventures in Fairytale Forest.,2020.0,11.0,6.0,0,goldie bear go adventure fairytale forest,False,False,False,False,False,False,True,False,False
s293,Movie,Mr. Magoo,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",United States,2020-11-06,1997,88 min,"Action-Adventure, Comedy, Crime",Clueless Mr. Magoo sets out to get back a stolen precious gem.,2020.0,11.0,6.0,1,clueless magoo set get back stolen precious gem,False,True,False,False,False,False,False,False,False
s294,Movie,Prep & Landing,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",United States,2020-11-06,2009,23 min,"Animation, Family, Fantasy",An elite elf unit ensures homes around the world are prepared for Santa.,2020.0,11.0,6.0,1,elite elf unit ensures home around world prepared santa,False,False,False,False,True,False,False,False,False
s295,Movie,Prep & Landing: Naughty vs. Nice,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard",United States,2020-11-06,2011,23 min,"Animation, Family, Fantasy",Wayne and Lanny race to save Christmas!,2020.0,11.0,6.0,1,wayne lanny race save christmas,False,False,False,False,True,False,False,False,False
s296,Movie,Disney Channel Halloween House Party,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",United States,2020-10-30,2020,23 min,"Comedy, Variety","Disney Channel Stars celebrate Halloween in a sketch comedy special with tricks, treats, and more!",2020.0,10.0,30.0,1,disney channel star celebrate halloween sketch comedy special trick treat,False,False,False,False,True,False,False,False,False
s297,TV Show,The Mandalorian,Unknown,"Pedro Pascal, Carl Weathers, Gina Carano, Omid Abtahi, Nick Nolte",United States,2020-10-30,2019,2 Seasons,"Action-Adventure, Family, Science Fiction","After the fall of the Empire, a lone gunfighter makes his way through the lawless galaxy.",2020.0,10.0,30.0,0,fall empire lone gunfighter make way lawless galaxy,False,False,False,True,False,False,False,False,False
s298,Movie,The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Miller",United States,2020-10-30,2010,111 min,"Action-Adventure, Fantasy",A modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.,2020.0,10.0,30.0,1,sorcerer must make seemingly average recruit ultimate apprentice,False,True,False,False,False,False,False,False,False
s299,TV Show,X-Ray Earth,Unknown,Unknown,United States,2020-10-30,2020,1 Season,"Animals & Nature, Docuseries, Reality",What if we could x-ray the Earth to reveal the origins of natural disasters? Now we can.,2020.0,10.0,30.0,0,could earth reveal origin natural disaster,False,False,False,False,False,True,False,False,False
s300,TV Show,Gathering Storm,Unknown,Tucker McDougall,United States,2020-10-23,2020,1 Season,"Animals & Nature, Docuseries","Witness first hand stories combined with scientific insight, analysis and satellite mapping.",2020.0,10.0,23.0,0,witness first hand story combined scientific insight analysis satellite mapping,False,False,False,False,False,True,False,False,False
s301,TV Show,India From Above,Unknown,Dev Patel,Unknown,2020-10-23,2019,1 Season,"Docuseries, Reality","India From Above, a two-part aerial documentary of a nation and its people.",2020.0,10.0,23.0,0,india aerial documentary nation people,False,False,False,False,False,True,False,False,False
s302,TV Show,Marvel Super Hero Adventures,Unknown,Unknown,United States,2020-10-23,2017,4 Seasons,"Action-Adventure, Animation, Kids",Spider-Man sets off on adventures with Marvel heroes!,2020.0,10.0,23.0,0,set adventure marvel hero,False,False,False,False,False,False,True,False,False
s303,Movie,Once Upon a Snowman,"Dan Abraham, Trent Correy","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams",United States,2020-10-23,2020,12 min,"Animation, Comedy, Coming of Age",This new short film follows Olaf’s first steps as he comes to life and searches for his identity.,2020.0,10.0,23.0,1,new short film follows olaf first step come life search identity,False,False,False,False,False,True,False,False,False
s304,Movie,Pompeii: Secrets Of The Dead,Ben Finney,Maite Jauregui,United States,2020-10-23,2019,45 min,"Documentary, Historical",Forensic experts scan Pompeii’s victims to investigate why they didn’t escape the eruption.,2020.0,10.0,23.0,1,forensic expert scan pompeii victim investigate escape eruption,False,False,False,False,False,True,False,False,False
